Kelurahan,Nama Sekolah,NPSN,Status,Kepala Sekolah,Alamat,Telepon,Email,Website,Jumlah Siswa Laki-laki,Jumlah Siswa Perempuan
Baran,SD NEGERI BARAN 01,20320752,NEGERI,Neni Trihadi Kusuma Wardani,-,0298593905,sdbaran01@gmail.com,-,58,59
Baran,SD NEGERI BARAN 02,20320751,NEGERI,Alin Dwi Yudiani,-,0298593994,sdnbaran02ambarawa@gmail.com,http://sdnegeribaran02.sch.id,106,97
Baran,MI BARAN,60712737,SWASTA,-,-,-,-,-,171,157
Bejalen,SD NEGERI BEJALEN,20320750,NEGERI,Suko Margoto,-,0298591710,sdnbejalen@gmail.com,http://sdnbejalen.blogspot.com,44,50
Kranggan,SD NEGERI KRANGGAN 01,20320100,NEGERI,Suratmi,-,0298596250,sdnegerikranggan@gmail.com,-,45,31
Kranggan,MIS KRANGGAN,60712739,SWASTA,-,-,-,-,-,22,9
Kupang,SD KRISTEN LENTERA AMBARAWA,20320790,SWASTA,Dian Aprianto,-,0298591591,sdklenteraambarawa@gmail.com,http://www.lentera.org,123,125
Kupang,SD NEGERI KUPANG 01,20320099,NEGERI,-,-,0298596402,sdnkupang01ambarawa@gmail.com,-,152,152
Kupang,SD NEGERI KUPANG 02,20320085,NEGERI,Cecilia Sri Sundari,-,0298593665,sdnegerikupang02@gmail.com,-,52,64
Kupang,SD NEGERI KUPANG 03,20320149,NEGERI,Puji Rahayu,-,0298593271,sdnkupang_03@yahoo.com,-,52,42
Kupang,SD NEGERI KUPANG 04,20320202,NEGERI,Endang Supriyatni,-,0298593192,esdekupang04@gmail.com,-,59,50
Kupang,SD Unggulan ‘Aisyiyah Ambarawa,70046485,SWASTA,Galang Setyo Pambudi,-,-,sdunggulanaisyiyah50@gmail.com,-,15,9
Kupang,MIS KUPANG,60712740,SWASTA,-,-,-,-,-,78,68
Lodoyong,SD KANISIUS LODOYONG,20320804,SWASTA,Suyamah Wenefrida,-,0298596471,sdkanisius.lodoyong@gmail.com,-,50,30
Lodoyong,SD NEGERI LODOYONG 02,20320194,NEGERI,Sri Rejeki,-,0298594327,sdnlodoyong2@gmail.com,-,38,43
Lodoyong,SD NEGERI LODOYONG 03,20320193,NEGERI,Agustin Wulandari,-,0298593833,sdnlodoyong3@gmail.com,-,61,60
Lodoyong,SD NEGERI SUDIRMAN,20320050,NEGERI,Rm Indriani Widiyati,-,029895659,sdsudirman34@gmail.com,-,224,197
Ngampin,SD KRISTEN NGAMPIN,20320785,SWASTA,F Ndari Handayani,-,0298592247,sdkristenngampin13@gmail.com,-,14,14
Ngampin,SD NEGERI NGAMPIN 01,20320172,NEGERI,Supriyati,-,594046,sdnngampin01@gmail.com,-,76,75
Ngampin,SD NEGERI NGAMPIN 02,20320171,NEGERI,Nila Ika Sari,-,594687,sdnngampin2@yahoo.com,-,36,32
Ngampin,SDIT IBNU MAS`UD,20320499,SWASTA,ROCHMADI,-,02986052171,sdit594616@gmail.com,http://www.alummaah.com,202,162
Panjang,SD NEGERI PANJANG 03,20320029,NEGERI,Siti Rohmah,-,0298594109,sdpanjang3@gmail.com,-,254,239
Panjang,SD NEGERI PANJANG 04,20320028,NEGERI,Arif Tri Budiyanto,-,02986052713,panjang4amb@gmail.com,-,64,48
Panjang,SD PANGUDI LUHUR AMBARAWA,20320781,SWASTA,Caesilia Adven Marginingrum,-,0298594825,sdplambarawa@gmail.com,-,158,157
Panjang,SD VIRGO MARIA 1,20320780,SWASTA,Th. Listijarini,-,0298594914,sdvm1ambarawa@gmail.com,-,74,83
Panjang,MIN 1 SEMARANG,60729432,NEGERI,-,-,-,-,-,388,400
Pasekan,SD NEGERI PASEKAN 01,20320024,NEGERI,Siti Rulis Zulchoridah,-,0298592747,sdnpasekan01@gmail.com,-,53,38
Pasekan,SD NEGERI PASEKAN 02,20320023,NEGERI,"Harmanto,s.pd.sd",-,02987184295,spasekan_dua@yahoo.com,-,96,76
Pasekan,SD NEGERI PASEKAN 03,20320022,NEGERI,Sutoyo,-,-,pasekansdn@gmail.com,http://sdnpasekan03.sch.id,72,74
Pasekan,MIS PASEKAN,60712738,SWASTA,-,-,-,-,-,43,32
Pojoksari,SD NEGERI POJOKSARI,20319959,NEGERI,Suyono,-,0298593270,sdnpojoksari01@gmail.com,-,52,45
Pojoksari,SDIT AR ROHMAH AMBARAWA,69754220,SWASTA,Ambar Nurwati,-,0298591937,sditarambarawa@gmail.com,-,117,111
Tambakboyo,SD NEGERI TAMBAKBOYO 01,20320362,NEGERI,Muhyidin,-,0298592478,sekolahdasartambakboyo01@gmail.com,-,58,67
Tambakboyo,SD NEGERI TAMBAKBOYO 02,20320361,NEGERI,Suraniningsih,-,0298596364,sdnegeritboyo02@gmail.com,-,61,72
