Nama Sekolah,Alamat,Jumlah Siswa Laki-laki,Jumlah Siswa Perempuan
MI BRANJANG,"Jl. Kabudirejo No. 47 RT 01 RW 02, Branjang, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",89,109
MI KALISIDI 01,"Jl. Kuarsa No. 02, Kalisidi, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",88,74
MI KALISIDI 02,"Dsn. Mrunten Kulon, Kalisidi, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",67,38
MI LEREP,"Dsn. Kretek, Lerep, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",67,71
MI MA`ARIF GOGIK,"Jl. Danautoba RT 08 RW 01, Gogik, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",48,41
MI NYATNYONO 01,"Dsn. Gondang, Nyatnyono, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",122,101
MI NYATNYONO 02,"Jl. Hasan Munadi Dsn. Sendang Rejo , Nyatnyono, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",193,183
MIS KEJI,"Jl. Yudhistira Raya Desa Keji, Keji, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",130,104
SD ISLAM ISTIQOMAH,"Jl. Diponegoro No. 36, Ungaran, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",385,299
SD ISLAM TERPADU ASSALAMAH,"Jl Gatot Subroto 104 B, BANDARJO, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",361,334
SD KANAAN,"Jl. Kyai Sono No. 2, Genuk, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",59,46
SD KANISIUS GENUK,"Jl Diponegoro No 232, GENUK, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",51,62
SD KRISTEN BANDARJO,"JALAN SINDORO II NO. 32, Bandarjo, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",20,24
SD MARDI RAHAYU 01,"Jl Diponegoro No 741, Ungaran, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",87,78
SD MARDI RAHAYU 02,"Jl. Diponegoro No. 741, Ungaran, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",150,149
SD NEGERI BANDARJO 01,"Jl.telomoyo Tengah Iv/2, Bandarjo, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",64,52
SD NEGERI BANDARJO 02,"Sindoro II/21, Bandarjo, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",85,90
SD NEGERI BANDARJO 03,"Jl.Gatot Subroto 123a, Bandarjo, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",85,59
SD NEGERI BRANJANG,"Jl. Kabudirejo No. 45 Dsn Cemanggah Lor, Branjang, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",107,87
SD NEGERI CANDIREJO 01,"Jl. Gedongsongo No. 01 , Candirejo, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",89,77
SD NEGERI CANDIREJO 02,"JL.BOROBUDUR, CANDIREJO, Kec. Ungaran Barat, Kab. Semarang Prov. Jawa Tengah",89,73
